book_id,title,description
1656001,"The Host (The Host, #1)","Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
99561,Looking for Alaska,Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
227443,"Bridget Jones's Diary (Bridget Jones, #1)","A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
14935,Sense and Sensibility,"A classic journey of transformation, courage, and finding light in the darkest places."
38709,"Holes (Holes, #1)","A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
5139,"The Devil Wears Prada (The Devil Wears Prada, #1)","A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
1381,The Odyssey,"A dark and thrilling story that explores human desires, betrayal, and redemption."
157993,The Little Prince,"Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
7445,The Glass Castle,"A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
1845,Into the Wild,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
1953,A Tale of Two Cities,"A lyrical exploration of identity, heritage, and the longing for something more."
7677,"Jurassic Park (Jurassic Park, #1)","A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
370493,The Giving Tree,Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
32542,A Time to Kill,"A classic journey of transformation, courage, and finding light in the darkest places."
1617,Night (The Night Trilogy #1),"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
6442769,Paper Towns,"A classic journey of transformation, courage, and finding light in the darkest places."
21787,The Princess Bride ,"A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
231804,The Outsiders,"A dark and thrilling story that explores human desires, betrayal, and redemption."
6186357,"The Maze Runner (Maze Runner, #1)","A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","A classic journey of transformation, courage, and finding light in the darkest places."
2998,The Secret Garden,"A dark and thrilling story that explores human desires, betrayal, and redemption."
320,One Hundred Years of Solitude,"A classic journey of transformation, courage, and finding light in the darkest places."
5297,The Picture of Dorian Gray,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
13536860,"Fifty Shades Freed (Fifty Shades, #3)","An epic saga where love battles fate, and secrets have the power to change everything."
17245,Dracula,"A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
5060378,"The Girl Who Played with Fire (Millennium, #2)",Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
11857408,"Fifty Shades Darker (Fifty Shades, #2)","A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
7244,The Poisonwood Bible,"Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
4137,Me Talk Pretty One Day,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
19543,Where the Wild Things Are,"A dark and thrilling story that explores human desires, betrayal, and redemption."
7126,The Count of Monte Cristo,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
6288,The Road,"A classic journey of transformation, courage, and finding light in the darkest places."
18710190,"Allegiant (Divergent, #3)","A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
9418327,Bossypants,"An epic saga where love battles fate, and secrets have the power to change everything."
3473,A Walk to Remember,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
9416,"Confessions of a Shopaholic (Shopaholic, #1)","A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
24280,Les Misérables,"Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)","A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
10441,The Memory Keeper's Daughter,Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
15507958,"Me Before You (Me Before You, #1)","A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
168668,Catch-22,"An epic saga where love battles fate, and secrets have the power to change everything."
6900,Tuesdays with Morrie,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
2187,Middlesex,"A dark and thrilling story that explores human desires, betrayal, and redemption."
24583,The Adventures of Tom Sawyer,"A dark and thrilling story that explores human desires, betrayal, and redemption."
18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)","A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
7763,The Joy Luck Club,"A dark and thrilling story that explores human desires, betrayal, and redemption."
38447,The Handmaid's Tale,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)","A classic journey of transformation, courage, and finding light in the darkest places."
7604,Lolita,"A dark and thrilling story that explores human desires, betrayal, and redemption."
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","An epic saga where love battles fate, and secrets have the power to change everything."
5358,"The Firm (Penguin Readers, Level 5)",Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
7937843,Room,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
1420,Hamlet,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
234225,Dune (Dune Chronicles #1),"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
2612,The Tipping Point: How Little Things Can Make a Big Difference,Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
11084145,Steve Jobs,"An epic saga where love battles fate, and secrets have the power to change everything."
332613,One Flew Over the Cuckoo's Nest,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
2165,The Old Man and the Sea,"A lyrical exploration of identity, heritage, and the longing for something more."
4395,The Grapes of Wrath,"A dark and thrilling story that explores human desires, betrayal, and redemption."
3431,The Five People You Meet in Heaven,"Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
8127,"Anne of Green Gables (Anne of Green Gables, #1)","A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
3777732,"City of Glass (The Mortal Instruments, #3)","A classic journey of transformation, courage, and finding light in the darkest places."
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
137791,Divine Secrets of the Ya-Ya Sisterhood,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
10964,"Outlander (Outlander, #1)","An epic saga where love battles fate, and secrets have the power to change everything."
12296,The Scarlet Letter,"A classic journey of transformation, courage, and finding light in the darkest places."
9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)","Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
18007564,The Martian,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
5043,"The Pillars of the Earth (The Kingsbridge Series, #1)","Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
18143977,All the Light We Cannot See,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
8664353,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
976,Deception Point,"A classic journey of transformation, courage, and finding light in the darkest places."
17333223,The Goldfinch,"A classic journey of transformation, courage, and finding light in the darkest places."
1217100,Thirteen Reasons Why,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
2865,Girl with a Pearl Earring,"Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
4374400,"If I Stay (If I Stay, #1)",Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
4989,The Red Tent,Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)","A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
5526,Dear John,"Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
1582996,"City of Ashes (The Mortal Instruments, #2)","A dark and thrilling story that explores human desires, betrayal, and redemption."
8852,Macbeth,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
15241,"The Two Towers (The Lord of the Rings, #2)","A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
42156,"Something Borrowed (Darcy & Rachel, #1)","A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
23772,Green Eggs and Ham,"A lyrical exploration of identity, heritage, and the longing for something more."
6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)","A lyrical exploration of identity, heritage, and the longing for something more."
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)","Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
2623,Great Expectations,"A dark and thrilling story that explores human desires, betrayal, and redemption."
18512,"The Return of the King (The Lord of the Rings, #3)","A dark and thrilling story that explores human desires, betrayal, and redemption."
49552,The Stranger,"A dark and thrilling story that explores human desires, betrayal, and redemption."
7736182,"The Lost Hero (The Heroes of Olympus, #1)","A lyrical exploration of identity, heritage, and the longing for something more."
15745753,Eleanor & Park,"A classic journey of transformation, courage, and finding light in the darkest places."
13497,"A Feast for Crows (A Song of Ice and Fire, #4)","A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
7735333,"Matched (Matched, #1)","A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
4407,"American Gods (American Gods, #1)","Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
149267,The Stand,"A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
6400090,The Last Song,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
11125,Digital Fortress,"A dark and thrilling story that explores human desires, betrayal, and redemption."
6969,Emma,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
15823480,Anna Karenina,"A dark and thrilling story that explores human desires, betrayal, and redemption."
227463,A Clockwork Orange,Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
1812457,The Shack,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
4502507,"The Last Olympian (Percy Jackson and the Olympians, #5)",Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
18342,It,"A lyrical exploration of identity, heritage, and the longing for something more."
7144,Crime and Punishment,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
6514,The Bell Jar,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
252577,"Angela's Ashes (Frank McCourt, #1)","A dark and thrilling story that explores human desires, betrayal, and redemption."
52036,Siddhartha,"Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
168642,In Cold Blood,"An epic saga where love battles fate, and secrets have the power to change everything."
6304335,"Beautiful Creatures (Caster Chronicles, #1)","Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
7171637,"Clockwork Angel (The Infernal Devices, #1)","A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
39988,Matilda,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
9361589,The Night Circus,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
37470,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)","A dark and thrilling story that explores human desires, betrayal, and redemption."
24770,"Uglies (Uglies, #1)","A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)","Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
33,"The Lord of the Rings (The Lord of the Rings, #1-3)","A lyrical exploration of identity, heritage, and the longing for something more."
12262741,Wild: From Lost to Found on the Pacific Crest Trail,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
472331,Watchmen,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)","A classic journey of transformation, courage, and finding light in the darkest places."
3228917,Outliers: The Story of Success,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
153747,"Moby-Dick or, The Whale","A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
2728527,The Guernsey Literary and Potato Peel Pie Society,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
5759,Fight Club,Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
301082,"Dead Until Dark (Sookie Stackhouse, #1)","An epic saga where love battles fate, and secrets have the power to change everything."
11486,The Color Purple,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
12691,Marley and Me: Life and Love With the World's Worst Dog,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
16299,And Then There Were None,"A dark and thrilling story that explores human desires, betrayal, and redemption."
6411961,"The Lost Symbol (Robert Langdon, #3)",Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
6339664,"Hush, Hush (Hush, Hush, #1)","A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
11505797,"Beautiful Disaster (Beautiful, #1)","A lyrical exploration of identity, heritage, and the longing for something more."
5326,A Christmas Carol,"Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
43763,"Interview with the Vampire (The Vampire Chronicles, #1)","A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
10507293,"The Selection (The Selection, #1)","A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
6853,"One for the Money (Stephanie Plum, #1)","A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
6493208,The Immortal Life of Henrietta Lacks,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
23807,"The Silence of the Lambs  (Hannibal Lecter, #2)","A classic journey of transformation, courage, and finding light in the darkest places."
345627,"Vampire Academy (Vampire Academy, #1)","A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
40102,Blink: The Power of Thinking Without Thinking,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
6867,Atonement,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
485894,The Metamorphosis,"A dark and thrilling story that explores human desires, betrayal, and redemption."
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)","A lyrical exploration of identity, heritage, and the longing for something more."
9969571,Ready Player One,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
3153910,The Art of Racing in the Rain,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
21996,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
13572249,"Bared to You (Crossfire, #1)","A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
3609760,Twilight: The Complete Illustrated Movie Companion,"A dark and thrilling story that explores human desires, betrayal, and redemption."
60748,"A Child Called ""It"" (Dave Pelzer #1)","A classic journey of transformation, courage, and finding light in the darkest places."
7869,"The Bourne Identity (Jason Bourne, #1)","A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
249747,"Artemis Fowl (Artemis Fowl, #1)","A dark and thrilling story that explores human desires, betrayal, and redemption."
6487308,"Fallen (Fallen, #1)","A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
4406,East of Eden,"A lyrical exploration of identity, heritage, and the longing for something more."
5886881,Dark Places,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
5359,The Client,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
228333,"The Nanny Diaries (Nanny, #1)","Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
24213,Alice's Adventures in Wonderland & Through the Looking-Glass,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
2156,Persuasion,"A classic journey of transformation, courage, and finding light in the darkest places."
556602,Sarah's Key,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
43615,"The Gunslinger (The Dark Tower, #1)","A dark and thrilling story that explores human desires, betrayal, and redemption."
9712,Love in the Time of Cholera,"A classic journey of transformation, courage, and finding light in the darkest places."
439288,Speak,"An epic saga where love battles fate, and secrets have the power to change everything."
17802724,The Husband's Secret,"An epic saga where love battles fate, and secrets have the power to change everything."
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
10592,Carrie,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
242006,Running with Scissors,"A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
8908,World War Z: An Oral History of the Zombie War,"An epic saga where love battles fate, and secrets have the power to change everything."
17212231,"Inferno (Robert Langdon, #4)","A dark and thrilling story that explores human desires, betrayal, and redemption."
47281,Number the Stars,"An epic saga where love battles fate, and secrets have the power to change everything."
13145,"Along Came a Spider (Alex Cross, #1)","A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
10614,Misery,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
66559,Sharp Objects,"A dark and thrilling story that explores human desires, betrayal, and redemption."
2839,Bridge to Terabithia,"A lyrical exploration of identity, heritage, and the longing for something more."
30183,"Marked (House of Night, #1)","A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
1622,A Midsummer Night's Dream,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
4588,Extremely Loud and Incredibly Close,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
11387515,Wonder,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
233093,The Cat in the Hat,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
11235712,"Cinder (The Lunar Chronicles, #1)","A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)","Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
6068551,"Shiver (The Wolves of Mercy Falls, #1)","A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
662,Atlas Shrugged,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
13023,Alice in Wonderland,"A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
1232,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","A dark and thrilling story that explores human desires, betrayal, and redemption."
7631105,"The Scorch Trials (Maze Runner, #2)","A dark and thrilling story that explores human desires, betrayal, and redemption."
4865,How to Win Friends and Influence People,"A dark and thrilling story that explores human desires, betrayal, and redemption."
480479,Under the Tuscan Sun,"Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
19486412,Big Little Lies,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
24337,Ella Enchanted,"A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
3876,The Sun Also Rises,"A dark and thrilling story that explores human desires, betrayal, and redemption."
14891,A Tree Grows in Brooklyn,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
13148,"Kiss the Girls (Alex Cross, #2)","Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
21853621,The Nightingale,"A lyrical exploration of identity, heritage, and the longing for something more."
6334,Never Let Me Go,"A classic journey of transformation, courage, and finding light in the darkest places."
366522,P.S. I Love You,"A classic journey of transformation, courage, and finding light in the darkest places."
12873,Rebecca,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
18373,Flowers for Algernon,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
6952,Like Water for Chocolate,"A dark and thrilling story that explores human desires, betrayal, and redemption."
1103,Snow Flower and the Secret Fan,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
22034,The Godfather,"A powerful narrative that blends fantasy and reality, questioning what it truly means to be free."
49750,An Abundance of Katherines,"A twisted tale of ambition, morality, and the razor-sharp line between hero and villain."
29579,Foundation (Foundation #1),"Dive into a story woven with suspense, mystery, and a touch of forbidden romance."
15783514,The Ocean at the End of the Lane,"An epic saga where love battles fate, and secrets have the power to change everything."
30118,A Light in the Attic,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
29056083,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",Follow the unforgettable journey of a young soul discovering their destiny amidst chaos and magic.
11614718,"Delirium (Delirium, #1)","An epic saga where love battles fate, and secrets have the power to change everything."
32499,The Pelican Brief,"A lyrical exploration of identity, heritage, and the longing for something more."
17061,Coraline,"A lyrical exploration of identity, heritage, and the longing for something more."
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","An epic saga where love battles fate, and secrets have the power to change everything."
70401,On the Road,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
16181775,"The Rosie Project (Don Tillman, #1)","A gripping tale of love, loss, and the power of resilience set in a world where nothing is as it seems."
3063499,The Lucky One,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
2122,The Fountainhead,"A heartwarming narrative filled with wit, charm, and the complexities of human relationships."
